OBJECTID_1,OBJECTID,votdst,NAME,SUM_VOTERS,Shape_Length,Shape_Area
1338,1338,3203,SAM 05-3203,615,7692.76760465753,3733358.16287647
1339,1339,3204,SAM 05-3204,768,13706.7503243038,6533660.77668294
1340,1340,3306,SAM 05-3306,519,8862.73615500676,2787108.80933204
1341,1341,3307,SAM 05-3307,270,5269.74657784776,1430473.81240814
1342,1342,3308,SAM 05-3308,272,11627.1960716075,4344021.03292081
1343,1343,3326,SAM 05-3326,467,14907.2007681877,6432103.03629279
1344,1344,3515,SAM 05-3515,239,10444.3788734022,3354010.48166463
1345,1345,0100,SAM 41-0100,690,25520.0941221309,19453055.8258423
1346,1346,0307,SAM 41-0307,582,21639.8489953816,23778266.7377468
1347,1347,0816,SAM 41-0816,714,23119.7904313488,24760663.4622682
1348,1348,0909,SAM 41-0909,846,18391.5128770092,15139896.0205091
1349,1349,1130,SAM 41-1130,606,11060.0189105372,5828986.38379687
1350,1350,2469,SAM 41-2469,565,12615.5722368949,7602742.37796604
1351,1351,2491,SAM 41-2491,707,17938.2201885178,19392166.39216
1352,1352,2690,SAM 41-2690,569,19124.2825411939,15023977.7062949
1353,1353,2813,SAM 41-2813,555,11725.2755082363,6731086.02375405
1354,1354,2937,SAM 41-2937,462,24483.2507329361,12022865.0875418
1355,1355,2940,SAM 41-2940,264,15730.9434100331,5670954.18236672
1356,1356,2942,SAM 41-2942,750,12233.7591190354,9510183.4929527
1357,1357,2973,SAM 41-2973,737,24994.5899392133,15714923.8615351
1358,1358,3214,SAM 41-3214,432,12673.7847444311,8770525.21706387
1359,1359,3215,SAM 41-3215,824,18321.7567673214,15262697.976473
1360,1360,3384,SAM 41-3384,798,22672.8065809719,10610399.0286548
1361,1361,3385,SAM 41-3385,661,10723.9557505661,5376234.10534811
1362,1362,3506,SAM 41-3506,505,18473.3760423554,17360332.2919197
1363,1363,3507,SAM 41-3507,825,15899.3751136036,8853375.1371533
1364,1364,3508,SAM 41-3508,742,12985.0971376612,8462775.89295178
1365,1365,3607,SAM 41-3607,502,14173.833362621,4943990.91132069
1366,1366,3638,SAM 41-3638,826,25311.9507550344,16202609.9173865
1367,1367,3654,SAM 41-3654,494,17879.9022038696,9774150.69662403
1368,1368,0536,SAM 45-0536,804,43641.5155065341,11098240.7743737
1369,1369,2450,SAM 45-2450,539,19161.3897730826,12648073.5788208
1370,1370,2564,SAM 45-2564,705,12272.8518607543,6737741.47827491
1371,1371,2575,SAM 45-2575,753,15364.4639767549,6094754.48531951
1372,1372,2620,SAM 45-2620,508,15125.1114504311,8360674.27463398
1373,1373,2684,SAM 45-2684,307,9298.77589893485,3771644.67035344
1374,1374,2693,SAM 45-2693,721,18304.7976461709,16717445.8222789
1375,1375,2726,SAM 45-2726,446,12810.9233929987,6460188.7874501
1376,1376,2791,SAM 45-2791,634,12558.3096735192,7062666.75754443
1377,1377,2961,SAM 45-2961,499,10959.4317710822,4678789.26107015
1378,1378,2963,SAM 45-2963,824,17387.0870683055,15441678.438202
1379,1379,2965,SAM 45-2965,660,18050.7179692629,10705349.8547061
1380,1380,3213,SAM 45-3213,537,9386.48339194778,5282760.10865754
1381,1381,3216,SAM 45-3216,727,18182.1081473013,11664314.8611781
1382,1382,3217,SAM 45-3217,609,11873.0503206289,5501674.47759855
1383,1383,3293,SAM 45-3293,714,17472.1801572347,11896906.1654466
1384,1384,3298,SAM 45-3298,573,14404.6400227702,7519496.63801669
1385,1385,3386,SAM 45-3386,760,22495.7948385173,13700220.4611914
1386,1386,3387,SAM 45-3387,405,17791.1415262129,6814947.70829412
1387,1387,3388,SAM 45-3388,700,16689.6382472537,9683928.06845924
1388,1388,3389,SAM 45-3389,774,21443.8914871402,14580463.7775068
1389,1389,3412,SAM 45-3412,768,10102.4511832947,4967722.54586868
1390,1390,3454,SAM 45-3454,235,13670.5463177028,7218687.62228389
1391,1391,3505,SAM 45-3505,696,22290.8584747801,23984746.0111349
1392,1392,3722,SAM 45-3722,20,6324.53594566406,1992539.95746038
1393,1393,2741,SAWYER,602,20045.4644396871,24730149.9671446
1394,1394,1256,SEA 11-1256,737,17540.8722756376,11702554.9998735
1395,1395,1550,SEA 11-1550,645,11489.584210751,5920009.79538706
1396,1396,1552,SEA 11-1552,420,15406.6207470699,10044130.4797981
1397,1397,1597,SEA 11-1597,882,9345.42195548682,4641058.14648976
1398,1398,1600,SEA 11-1600,611,9298.96576841039,3830732.07543823
1399,1399,1602,SEA 11-1602,692,36572.8208269889,45377359.1123046
1400,1400,1624,SEA 11-1624,612,9185.15934749732,4353506.81509094
1401,1401,1639,SEA 11-1639,608,12968.405340301,4677627.82121855
1402,1402,1641,SEA 11-1641,550,13853.1836938144,6476262.71406884
1403,1403,1928,SEA 11-1928,346,44604.0903597723,87174720.5118469
1404,1404,1941,SEA 11-1941,509,6058.96581304295,1592888.05046806
1405,1405,1942,SEA 11-1942,614,15590.5700933258,5227938.06834571
1406,1406,1945,SEA 11-1945,782,17953.6499148148,8626492.30922613
1407,1407,1947,SEA 11-1947,662,17986.3959977479,9778702.45966134
1408,1408,3491,SEA 11-3491,0,12216.6647273791,4267077.68415354
1409,1409,3580,SEA 11-3580,485,7533.35790447112,2317194.91288133
1410,1410,2200,SEA 32-2200,401,12222.025529453,7347994.60147295
1411,1411,2201,SEA 32-2201,484,10054.8515051539,4016089.6492132
1412,1412,2202,SEA 32-2202,468,5295.82583986454,1752731.00222039
1413,1413,2203,SEA 32-2203,768,12132.0446352818,6283700.41505176
1414,1414,2204,SEA 32-2204,338,7231.72267368927,3033335.49010782
1415,1415,2206,SEA 32-2206,421,5955.91855539301,2189580.21822623
1416,1416,2208,SEA 32-2208,352,7312.35455692261,2194014.69306673
1417,1417,2209,SEA 32-2209,607,16411.4745428365,7912233.82902448
1418,1418,2210,SEA 32-2210,602,6634.13303461883,2643323.85170083
1419,1419,2211,SEA 32-2211,632,7863.82117837538,3436392.52923286
1420,1420,2215,SEA 32-2215,846,18016.4100286593,10592930.0991165
1421,1421,2216,SEA 32-2216,385,6583.41342248746,1962140.32457532
1422,1422,2217,SEA 32-2217,813,6428.73122428644,2506314.63529422
1423,1423,2218,SEA 32-2218,733,7127.92965146174,3169589.70905757
1424,1424,2224,SEA 32-2224,608,6621.85889425027,2417282.44329738
1425,1425,2537,SEA 32-2537,469,7957.97968379929,2017863.41924681
1426,1426,2539,SEA 32-2539,840,7897.6832834469,3475721.48458352
1427,1427,3568,SEA 32-3568,450,5447.60690313069,1402081.26858878
1428,1428,3656,SEA 32-3656,503,5861.91486630881,1921666.23274777
1429,1429,3746,SEA 32-3746,447,5305.96297217423,1321702.81088667
1430,1430,1245,SEA 34-1245,513,6470.92722722862,2098355.1826633
1431,1431,1246,SEA 34-1246,369,7577.80325713064,1990850.11009707
1432,1432,1247,SEA 34-1247,505,6584.59994693849,1961762.29777806
1433,1433,1248,SEA 34-1248,440,8641.25947846574,3762945.293232
1434,1434,1249,SEA 34-1249,597,6288.93102768114,2226186.13220744
1435,1435,1250,SEA 34-1250,363,8242.99659783486,1952333.03026107
1436,1436,1251,SEA 34-1251,607,21356.0434804549,16238609.8313977
1437,1437,1252,SEA 34-1252,772,9784.25668939055,4182927.33542703
1438,1438,1254,SEA 34-1254,401,8066.91891265689,2668639.93663028
